#{"t_start": 1583174538.302552, "env_id": "FetchPickAndPlace-v1"}
s,r,l,t
,-50.0,50,6.159334
,-50.0,50,8.039834
,-50.0,50,9.632557
,-50.0,50,11.212145
,-50.0,50,12.851354
,-50.0,50,14.468869
,-50.0,50,16.084771
,-50.0,50,17.687092
,-50.0,50,19.284223
,-50.0,50,20.869664
,-50.0,50,22.483675
,-50.0,50,24.107972
,-50.0,50,25.715146
,-50.0,50,27.350247
,-50.0,50,28.942243
,-50.0,50,30.563313
,-50.0,50,32.135529
,-50.0,50,33.741134
,-50.0,50,35.354498
,-50.0,50,36.933006
,-50.0,50,38.574165
,-50.0,50,40.159709
,-50.0,50,41.73731
,-50.0,50,43.36394
,-50.0,50,44.999878
,-50.0,50,46.582952
,-50.0,50,48.208272
